id;name;level;categorie;id_account
1;override calculate connect;Dynamic Creative vortals;TCP streamline 4th generation;bottom-line user-facing Bike
2;Tasty Rubber Fish Borders;mint green Marketing Montana;JBOD Ghana Niue;even-keeled invoice JSON
3;Lock models;orchid Cambridgeshire;bypass Burgs transmit;Comoro Franc payment
4;XML Honduras;service-desk synergies Coordinator;Hawaii;Savings Account Rhode Island SCSI
5;Car;Borders;Manager Rubber New Jersey;Data Rubber
6;withdrawal European Unit of Account 17(E.U.A.-17) 24/7;Kroon;Keyboard Kids;Planner
7;Mouse online Reactive;ROI;Avon;enable vertical
8;override Balboa US Dollar;markets Pizza;Nebraska Bedfordshire magnetic;generate
9;Unbranded Cotton Gloves North Carolina even-keeled;Licensed Steel Shirt New Mexico;SAS Cambridgeshire Gorgeous Wooden Salad;Lake transmitting utilisation
10;Legacy payment;Florida;virtual reintermediate utilisation;Awesome Concrete Keyboard
