id;team_name;team_member;score
1;Nigeria;Frozen Borders;58730
2;focus group Orchestrator;British Indian Ocean Territory (Chagos Archipelago) bottom-line heuristic;23927
3;Borders;asymmetric Money Market Account;94057
4;portals Money Market Account;action-items Awesome Rubber Table Home;56020
5;Officer Ghana Colombian Peso Unidad de Valor Real;Rustic;55981
6;Lesotho parsing;solid state Small Wooden Bike;32001
7;best-of-breed Architect invoice;Function-based Handmade Wooden Salad;15791
8;Ergonomic Wooden Pants Integration Steel;Sleek;16784
9;Designer;orange Global Buckinghamshire;95422
10;turquoise Tasty Metal Cheese International;AI Villages withdrawal;91117
