id;avatar;score;id_account
1;Massachusetts Investment Account France;5453;SAS
2;Tools Louisiana strategy;79254;relationships Self-enabling
3;Clothing XML Electronics;87503;Plaza cross-media
4;scalable;14984;Intelligent Wooden Soap Fish Delaware
5;Louisiana Gorgeous Metal Towels;71432;invoice cross-platform SAS
6;support;39402;Coordinator
7;real-time Kansas;59377;Ergonomic Frozen Ergonomic
8;input Home;70819;Vatu Rubber
9;Sausages bus;47241;Pizza
10;engineer Corporate;90248;exploit out-of-the-box Minnesota
